,날짜,시가,고가,저가,종가,거래량,종목코드,종목명
390,2021-08-30,191500,192500,188000,190000,165001,011780,금호석유
391,2021-08-31,189000,195000,188000,194500,285330,011780,금호석유
392,2021-08-30,113500,114000,111500,112000,18386,011785,금호석유우
393,2021-08-31,111500,113500,110500,113500,12549,011785,금호석유우
394,2021-08-30,2270,2275,2240,2265,765193,214330,금호에이치티
395,2021-08-31,2250,2360,2250,2270,1489952,214330,금호에이치티
396,2021-08-30,3315,3400,3205,3355,154304,001210,금호전기
397,2021-08-31,3355,3455,3295,3425,335581,001210,금호전기
398,2021-08-30,5960,6110,5880,6000,376859,073240,금호타이어
399,2021-08-31,6000,6050,5870,5910,433946,073240,금호타이어
400,2021-08-30,4510,4510,4450,4470,25108,092440,기신정기
401,2021-08-31,4470,4480,4370,4420,78069,092440,기신정기
402,2021-08-30,83200,83400,82200,82600,921858,000270,기아
403,2021-08-31,82600,85100,82000,85100,2158473,000270,기아
404,2021-08-30,10500,10500,10250,10300,954637,024110,기업은행
405,2021-08-31,10250,10350,10150,10300,1449271,024110,기업은행
406,2021-08-30,2345,2415,2345,2355,506149,013700,까뮤이앤씨
407,2021-08-31,2360,2410,2340,2400,481397,013700,까뮤이앤씨
408,2021-08-30,5390,5430,5280,5320,109468,004540,깨끗한나라
409,2021-08-31,5310,5420,5220,5300,152586,004540,깨끗한나라
410,2021-08-30,25950,25950,25150,25150,1273,004545,깨끗한나라우
411,2021-08-31,25150,25150,24800,24800,1148,004545,깨끗한나라우
412,2021-08-30,14700,15150,14650,15150,30574,001260,남광토건
